"ID","AMPI__GEOGRAPHIC_AREA__R.ID","AMPI__GEOGRAPHIC_AREA__R.AMPI__TYPE__C","AMPI__PROJECT__R.NAME","AMPI__PROJECT__R.ID","AMPI__PROJECT__R.PROGRAMME_LOCATION__C"
"a0Y1i000004s0jGEAQ","a0I1i000004MM8bEAG","Country","Intensification and decentralization program for the fight against AIDS ","a0i1i000002i5TBAAY",""
"a0Y1i000004s0jLEAQ","a0I1i000004MM9dEAG","Country","Business for a living","a0i1i000002i5TCAAY",""
"a0Y1i000004s0jQEAQ","a0I1i000004MM8nEAG","Country","SOS CV Ladimirevci - Safe mobility - purchase of a vehicle","a0i1i000002i5WGAAY",""
"a0Y1i000004s0jVEAQ","a0I1i000004MM8nEAG","Country","POP SOS - Cycle 2","a0i1i000002i5WHAAY",""
"a0Y1i000004s0llEAA","a0I1i000004MvZfEAK","Country","?an?o - Co-funding FRB 2019","a0i1i000002i5XbAAI",""
"a0Y1i000004s0lqEAA","a0I1i000004MM9GEAW","Country","Technical partnership for improving alternative care in J&K and Uttar Pradesh","a0i1i000002i5XcAAI",""
"a0Y1i000004s0lvEAA","a0I1i000004MM9pEAG","Country","Strengthening CSO initiatives for inclusive governance and collaborative develop","a0i1i000002i5XhAAI",""
"a0Y1i000004PdRJEA0","a0I1i000004MP2YEAW","Programme Unit","Promoting sustainable social and ec. development of vulnerable children","a0i1i000002i5G6AAI",""
"a0Y1i000004PdRKEA0","a0I1i000004MP2YEAW","Programme Unit","Promoting Transgenerational Trauma awareness","a0i1i000002i5GpAAI",""
"a0Y1i000004PdRLEA0","a0I1i000004MP2YEAW","Programme Unit","Strengthening role of women-led families in the Bethlehem district through a lif","a0i1i000002i5V2AAI",""
"a0Y1i000004PdRMEA0","a0I1i000004MOPsEAO","Programme Unit","Protección y garantía de los derechos de niños, adolescentes y sus familias","a0i1i000002i57ZAAQ",""
"a0Y1i000004PdROEA0","a0I1i000004MOfiEAG","Programme Unit","Pivasiunai Children's Day Care Center ""Support for Family""","a0i1i000002i5ESAAY",""
"a0Y1i000004PdRPEA0","a0I1i000004MOhtEAG","Programme Unit","Implementing method of social project in work of institutions that provide servi","a0i1i000002i5HkAAI",""
"a0Y1i000004PdRQEA0","a0I1i000004MO35EAG","Programme Unit","""Our Generations” Ajyaalouna","a0i1i000002i5VlAAI",""
"a0Y1i000004PdRREA0","a0I1i000004MP2JEAW","Programme Unit","Grant for ERP Ukraine","a0i1i000002i571AAA",""
"a0Y1i000004yq81EAA","a0I1i000004MNsjEAG","Programme Unit","Children with children – initiatives for teenage girls in Tanzania","a0i1i000002iAypAAE",""
"a0Y1i000004yq86EAA","a0I1i000004MM8zEAG","Country","Educare Project in Nekemte, Oromia Regional State","a0i1i000002iB2FAAU",""
"a0Y1i000004z9UlEAI","a0I1i000004MMA8EAO","Country","Ex-post evaluation of 4 previously BMZ funded FSPs in Rwanda","a0i1i000002iB4uAAE",""
"a0Y1i000004z9YOEAY","a0I1i000004MM8zEAG","Country","Integrated community based child care and development model","a0i1i000002i7SiAAI",""
"a0Y1i000004zTFoEAM","a0I1i000004MM9mEAG","Country","Sortir, les femmes, les enfants et les jeunes du cycle de la violence","a0i1i000002iBAiAAM",""
"a0Y1i000004PdULEA0","a0I1i000004MOVGEA4","Programme Unit","Programas de cuidado alternativo en acogimiento residencial","a0i1i000002i57QAAQ",""
"a0Y1i000004PdUMEA0","a0I1i000004MOhOEAW","Programme Unit","Youth economic empowerment - SOS Romania","a0i1i000002i5c8AAA",""
"a0Y1i000004PdUmEAK","a0I1i000004MO1WEAW","Programme Unit","Therapy and therapeutic activities Neradim - SOS Israel","a0i1i000002i5QHAAY",""
"a0Y1i0000056DCdEAM","a0I1i000004MMA6EAO","Country","Prevent institutionalization of children in Bucharest","a0i1i000002iF0wAAE",""
"a0Y1i000004PdUnEAK","a0I1i000004MO1WEAW","Programme Unit","Renovation of 4 family homes in CV Neradim - SOS Israel","a0i1i000002i5QIAAY",""
"a0Y1i0000056DCiEAM","a0I1i000004MMA6EAO","Country","Socio-educational arch - Family and community, education partners!","a0i1i000002iF16AAE",""
"a0Y1i000004PdUoEAK","a0I1i000004MO1WEAW","Programme Unit","Replacement of the water pipe infrastructure in CV Neradim - SOS Isreal","a0i1i000002i5QJAAY",""
"a0Y1i000004PdUpEAK","a0I1i000004MO1WEAW","Programme Unit","Extra Curricular activity in CV Neradim - SOS Israel","a0i1i000002i5QKAAY",""
"a0Y1i0000056DCnEAM","a0I1i000004MMA7EAO","Country","Step Forward (Preparing adolescents from CV Pushkin to","a0i1i000002iF1BAAU",""
"a0Y1i000004PdUqEAK","a0I1i000004MO1WEAW","Programme Unit","Extra Curricular activity in CV Neradim - SOS Israel","a0i1i000002i5QLAAY",""
"a0Y1i0000056DCxEAM","a0I1i000004MNwyEAG","Programme Unit","Business for a living","a0i1i000002i5TCAAY",""
"a0Y1i000004PdUrEAK","a0I1i000004MO1WEAW","Programme Unit","Furnitures & home equipment for CV Neradim - SOS Isreal","a0i1i000002i5QMAAY",""
"a0Y1i0000056ExJEAU","a0I1i000004MOScEAO","Programme Unit","Follow up Dutch Relief Alliance Joint Response 2020, Central African Republic","a0i1i000002i5HEAAY",""
"a0Y1i000004PdUsEAK","a0I1i000004MO1WEAW","Programme Unit","Psychological treatment in CV Neradim - SOS Israel","a0i1i000002i5QNAAY",""
"a0Y1i0000056GUiEAM","a0I1i000004MM8zEAG","Country","Family Strengthening Programme in the Oromo Region SOS USA + SOS Ethiopia","a0i1i000002iFLLAA2",""
"a0Y1i000004PdUtEAK","a0I1i000004MO1WEAW","Programme Unit","Establishing profit centers for both CV - SOS Israel","a0i1i000002i5QSAAY",""
"a0Y1i0000056LbfEAE","a0I1i000004MM9LEAW","Country","COVID-19 Response in Italy","a0i1i000002iG5YAAU",""
"a0Y1i000004qYotEAE","a0I1i000004MvZfEAK","Country","Programme de protection de l'enfance et de la jeunesse dans la région de Mopti","a0i1i000002i5EkAAI",""
"a0Y1i000004PdRSEA0","a0I1i000004MP2JEAW","Programme Unit","Dutch Relief Alliance emergency response project in Ukraine","a0i1i000002i58cAAA",""
"a0Y1i000004PdRTEA0","a0I1i000004MP2JEAW","Programme Unit","Emergency Response Project Ukraine - 2019/20","a0i1i000002i5CWAAY",""
"a0Y1i000004PdRUEA0","a0I1i000004MP2JEAW","Programme Unit","Strengthening of community capacity to address the needs of vulnerable children","a0i1i000002i5GUAAY",""
"a0Y1i000004PdRVEA0","a0I1i000004MP2JEAW","Programme Unit","Uniting for Children in Luhansk Region - UNHCR","a0i1i000002i5GzAAI",""
"a0Y1i000004PdRWEA0","a0I1i000004MP2JEAW","Programme Unit","Children of the World - Ukraine","a0i1i000002i5HGAAY",""
"a0Y1i000004PdRXEA0","a0I1i000004MNqyEAG","Programme Unit","Improving Food and livelihood Security of Conflict IDPs","a0i1i000002i5CVAAY",""
"a0Y1i000004PdUNEA0","a0I1i000004MOcEEAW","Programme Unit","Annual costs of care services in SOS Villages Sarajevo and Gracanica","a0i1i000002i5LrAAI",""
"a0Y1i0000055GDtEAM","a0I1i000004MM8zEAG","Country","EduCare 4.0 Debre Tabor and Gondar SOS USA+SOS Ethiopia","a0i1i000002iD8NAAU",""
"a0Y1i000004PdUOEA0","a0I1i000004MOdWEAW","Programme Unit","Rconstruction of STP center - SOS Czech Republic","a0i1i000002i5Z9AAI",""
"a0Y1i000004PdUQEA0","a0I1i000004MOELEA4","Programme Unit","Acceso al primer empleo para jóvenes en Cuidado Alternativo","a0i1i000002i5AhAAI",""
"a0Y1i000004PdUREA0","a0I1i000004MOVNEA4","Programme Unit","Programas de cuidado alternativo en acogimiento residencial","a0i1i000002i57QAAQ",""
"a0Y1i000004PdUSEA0","a0I1i000004MOXBEA4","Programme Unit","Inclusión educativa de NNA a través de servicios de gestión en la educación","a0i1i000002i5BnAAI",""
"a0Y1i0000055ZZeEAM","a0I1i000004MM8aEAG","Country","Ecoles numériques 2020_Dafra (Bobo Dioulasso)","a0i1i000002iEjeAAE",""
"a0Y1i000004PdUTEA0","a0I1i000004MOLAEA4","Programme Unit","Deporte con Equidad de Género. Por una Infancia sin violencia en Chiclayo – Perú","a0i1i000002i5KMAAY",""
"a0Y1i0000056CwfEAE","a0I1i000004MM8oEAG","Country","SOS Kotva Brno","a0i1i000002iErPAAU",""
"a0Y1i000004PdUVEA0","a0I1i000004MOcwEAG","Programme Unit","Care Alternative Response Empowerment-SOS Belarus","a0i1i000002i5AsAAI",""
"a0Y1i0000056CwpEAE","a0I1i000004MM8oEAG","Country","SOS Kompas Karlovy Vary","a0i1i000002iEs8AAE",""
"a0Y1i000004PdUuEAK","a0I1i000004MO1WEAW","Programme Unit","Neradim 5-year strategic plan and implementation - SOS Israel","a0i1i000002i5RGAAY",""
"a0Y1i000004PdUvEAK","a0I1i000004MO1WEAW","Programme Unit","Support to the CV Megadim and Neradim - SOS Israel","a0i1i000002i5RbAAI",""
"a0Y1i000004PdUwEAK","a0I1i000004MOfkEAG","Programme Unit","Family model of community-based child care home services in Alytus Region","a0i1i000002i5NrAAI",""
"a0Y1i000004PdUxEAK","a0I1i000004MOaqEAG","Programme Unit","Care and support services for families in difficult life situations","a0i1i000002i583AAA",""
"a0Y1i000004PdUyEAK","a0I1i000004MOaqEAG","Programme Unit","The Face of hope","a0i1i000002i5AUAAY",""
"a0Y1i000004PdV0EAK","a0I1i000004MOaqEAG","Programme Unit","Suports to SOS Children's Village Almaty operations - SOS Kazakhstan","a0i1i000002i5bLAAQ",""
"a0Y1i000004PdV1EAK","a0I1i000004MOIGEA4","Programme Unit","Emprendiendo en Familia: Fortalecimiento socio-económico para familias","a0i1i000002i5aaAAA",""
"a0Y1i000004aGQJEA2","a0I1i000004MM8YEAW","Country","Novos horizontes","a0i1i000002i77VAAQ",""
"a0Y1i000004au6hEAA","a0I1i000004MM8WEAW","Country","Brighten their childhood - SOS Bosnia and Herzegovina","a0i1i000002i7P5AAI",""
"a0Y1i000004au6wEAA","a0I1i000004MM8oEAG","Country","FSP centre in P?erov - SOS Czech Republic","a0i1i000002i7PAAAY",""
"a0Y1i000004au7fEAA","a0I1i000004MM8oEAG","Country","FSP centre in Brno - Czech Republic","a0i1i000002i7PFAAY",""
"a0Y1i000004bEUKEA2","a0I1i000004MM8oEAG","Country","Running costs of STP in Praha - Czech Republic","a0i1i000002i7RzAAI",""
"a0Y1i000004bEV3EAM","a0I1i000004MMAWEA4","Country","Maternal Child Health and Nutririton Project","a0i1i000002i7S9AAI",""
"a0Y1i0000056Jw2EAE","a0I1i000004MM8lEAG","Country","From Relief to Recovery comprehensive protection approach to the migratory crisi","a0i1i000002iFoIAAU",""
"a0Y1i000004bEV8EAM","a0I1i000004MMAWEA4","Country","Access to health Care in Rwenzori region","a0i1i000002i7SJAAY",""
"a0Y1i000004qYqrEAE","a0I1i000004MMAEEA4","Country","Scaling up Reproductive Health Services in Mogadishu and Baidao","a0i1i000002i5BmAAI",""
"a0Y1i000004quvREAQ","a0I1i000004MLc4EAG","Country","Improving the quality of alternative care services for children in Zimbabwe","a0i1i000002i56zAAA",""
"a0Y1i000004quwyEAA","a0I1i000004MMASEA4","Country","Building strong families and communities for ensuring the rights of children-TG","a0i1i000002iABgAAM",""
"a0Y1i000004qux3EAA","a0I1i000004MOSHEA4","Programme Unit","Building strong families and communities for ensuring the rights of children-TG","a0i1i000002iABgAAM",""
"a0Y1i000004qux8EAA","a0I1i000004MM8VEAW","Country","Building strong families and communities for ensuring the rights of children-BO","a0i1i000002iABlAAM",""
"a0Y1i000004quxDEAQ","a0I1i000004MM8dEAG","Country","Building strong families and communities for ensuring the rights of children-KH","a0i1i000002iABqAAM",""
"a0Y1i000004quxNEAQ","a0I1i000004MM9nEAG","Country","Building strong families and communities for ensuring the rights of children-MZ","a0i1i000002iABvAAM",""
"a0Y1i000004qYqmEAE","a0I1i000004MMAWEA4","Country","Act now: ending GBV and Child rights violence in Uganda","a0i1i000002i5CQAAY",""
"a0Y1i000004quxcEAA","a0I1i000004MM9QEAW","Country","Community action for quality alternative care and protection II - Kenya","a0i1i000002iAC0AAM",""
"a0Y1i000004quxhEAA","a0I1i000004MMAQEA4","Country","Community action for quality alternative care and protection II - Tanzania","a0i1i000002iAC5AAM",""
"a0Y1i0000056TFmEAM","a0I1i000004MM9OEAW","Country","Jordan Youth Empowerment project","a0i1i000002iHWzAAM",""
"a0Y1i000004x2zaEAA","a0I1i000004MM9dEAG","Country","MALAWI - Norad framework programme 2020-2024","a0i1i000002iAjJAAU",""
"a0Y1i000004PdMCEA0","a0I1i000004MNsHEAW","Programme Unit","Youth Economic Empowerment Project -MUSTAQBAL YOUTH INITIATIVE","a0i1i000002i5ATAAY",""
"a0Y1i000004PdMDEA0","a0I1i000004MNsGEAW","Programme Unit","Youth Economic Empowerment Project -MUSTAQBAL YOUTH INITIATIVE","a0i1i000002i5ATAAY",""
"a0Y1i000004PdMEEA0","a0I1i000004MO7zEAG","Programme Unit","School in Itahari, Nepal","a0i1i000002i5ZIAAY",""
"a0Y1i000004PdMBEA0","a0I1i000004MNsIEAW","Programme Unit","Youth Economic Empowerment Project -MUSTAQBAL YOUTH INITIATIVE","a0i1i000002i5ATAAY",""
"a0Y1i000004PdMFEA0","a0I1i000004MNqHEAW","Programme Unit","Herman Gmeiner School in Gode, Somali Region, Ethiopia","a0i1i000002i5JzAAI",""
"a0Y1i000004PdMGEA0","a0I1i000004MOXQEA4","Programme Unit","Prevención de la Separación Familiar y el Desplazamiento Forzado","a0i1i000002i5G5AAI",""
"a0Y1i000004PdMHEA0","a0I1i000004MOXNEA4","Programme Unit","Prevención de la Separación Familiar y el Desplazamiento Forzado","a0i1i000002i5G5AAI",""
"a0Y1i000004PdMmEAK","a0I1i000004MOqeEAG","Programme Unit","Access to primary education in Sheikh District, Somaliland","a0i1i000002i5YqAAI",""
"a0Y1i000004PdMoEAK","a0I1i000004MO37EAG","Programme Unit","SOS Children's Village and Social Centre Saboura, Syria (SFC Damascus 2, Syria,)","a0i1i000002i5RxAAI",""
"a0Y1i000004PdRYEA0","a0I1i000004MNqyEAG","Programme Unit","Follow up food and livelihood project in Oromia region, Ethiopia","a0i1i000002i5HCAAY",""
"a0Y1i000004PdRZEA0","a0I1i000004MOquEAG","Programme Unit","Education in Emergency Project for crisis-affected population in Goré/South Chad","a0i1i000002i5E4AAI",""
"a0Y1i000004PdRaEAK","a0I1i000004MP2vEAG","Programme Unit","Building Resilience for Syrian Refugees and Host Communities in Dohuk, Iraq","a0i1i000002i5JPAAY",""
"a0Y1i000004PdRbEAK","a0I1i000004MP2vEAG","Programme Unit","Building IDP and Returnee Resilience Post-ISIL in Iraq","a0i1i000002i5JQAAY",""
"a0Y1i000004PdRdEAK","a0I1i000004MOJsEAO","Programme Unit","Critical Health Care & Protection for Migrants, Refugees & vulnerable host comm.","a0i1i000002i5GSAAY",""
"a0Y1i000004PdReEAK","a0I1i000004MODqEAO","Programme Unit","Venezuelan refugees in Brazil","a0i1i000002i5DPAAY",""
"a0Y1i000004PdRfEAK","a0I1i000004MOimEAG","Programme Unit","Together for Safer and Better World for Children","a0i1i000002i5FbAAI",""
"a0Y1i000004PdRgEAK","a0I1i000004MP2JEAW","Programme Unit","Community strengthening to address needs of vulnerable children+ their families","a0i1i000002i5BzAAI",""
"a0Y1i000004PdRhEAK","a0I1i000004MP2JEAW","Programme Unit","Continuation of crisis response of SOS CV UA","a0i1i000002i5JAAAY",""
"a0Y1i000004PdRiEAK","a0I1i000004MP2JEAW","Programme Unit","Community development to ensure the needs of vulnerable children and families","a0i1i000002i5PfAAI",""
"a0Y1i000004PdRjEAK","a0I1i000004MP2JEAW","Programme Unit","Community development to ensure the needs of vulnerable children and families","a0i1i000002i5PoAAI",""
"a0Y1i000004PdRkEAK","a0I1i000004MP2JEAW","Programme Unit","Humanitarian support for vulnerable children 0-7 along the contact line","a0i1i000002i5PsAAI",""
"a0Y1i00000518pmEAA","a0I1i000004MM8tEAG","Country","COMUNIDADES PROTECTORAS EN QUITUMBE","a0i1i000002i5EcAAI",""
"a0Y1i00000518prEAA","a0I1i000004MMA7EAO","Country","Always Nearby","a0i1i000002i58uAAA",""
"a0Y1i0000051UYlEAM","a0I1i000004MMA1EAO","Country","Youth in Paraguay","a0i1i000002iCR3AAM",""
"a0Y1i00000518phEAA","a0I1i000004MMA7EAO","Country","Healthy Children Today - Healthy Society Tomorrow","a0i1i000002i58pAAA",""
"a0Y1i0000052CLlEAM","a0I1i000004MOLzEAO","Programme Unit","NNA migrantes tienen garantizados sus derechos y crecen en entornos familiares","a0i1i000002i5GTAAY",""
"a0Y1i0000056GtsEAE","a0I1i000004MM8pEAG","Country","LIMPOBA : Pour un développement communautaire durable et inclusif à Kimbanseke","a0i1i000002iFMsAAM",""
"a0Y1i0000056H9MEAU","a0I1i000004MM8zEAG","Country","Integrated intervention to create access to WASH services in Babile district, ET","a0i1i000002iFOtAAM",""
"a0Y1i0000056H9REAU","a0I1i000004MMAEEA4","Country","Humanitarian Intervention for locust affected communities in Somaliland","a0i1i000002iFOyAAM",""
"a0Y1i0000056HSdEAM","a0I1i000004MNtEEAW","Programme Unit","Action to end violence against women and children in Uganda","a0i1i000002i5GLAAY",""
"a0Y1i0000056HvaEAE","a0I1i000004MM8zEAG","Country","Humanitarian Aid project Somali region, Ethiopia","a0i1i000002iFSWAA2",""
"a0Y1i0000056IsJEAU","a0I1i000004MMAEEA4","Country","Life-saving health, nutrition, protection and WASH to mothers and children","a0i1i000002iFcbAAE",""
"a0Y1i0000056J1QEAU","a0I1i000004MNrGEAW","Programme Unit","Women's empowerment for child development in Ethiopia","a0i1i000002i5B6AAI",""
"a0Y1i000004PdMrEAK","a0I1i000004MOi0EAG","Programme Unit","Open World (Creating and implementing support system, phase 3)","a0i1i000002i5AHAAY",""
"a0Y1i000004PdMsEAK","a0I1i000004MOi0EAG","Programme Unit","Steps of Life - SOS Russia","a0i1i000002i5B4AAI",""
"a0Y1i000004PdMtEAK","a0I1i000004MOi0EAG","Programme Unit","Short-term placement service for children with disabilities","a0i1i000002i5CYAAY",""
"a0Y1i000004PdMwEAK","a0I1i000004MOdTEAW","Programme Unit","Youth economic empowerment - SOS Northern Cyprus","a0i1i000002i5MhAAI",""
"a0Y1i000004PdMzEAK","a0I1i000004MNsiEAG","Programme Unit","Let me play and learn","a0i1i000002i5abAAA",""
"a0Y1i000004PdN2EAK","a0I1i000004MOejEAG","Programme Unit","Promotion of healthy lifestyle in Ingiri (SOS Georgia)","a0i1i000002i57CAAQ",""
"a0Y1i000004PdN3EAK","a0I1i000004MOejEAG","Programme Unit","Economic and psycho-social strengthening + stabilization of vulnerable families","a0i1i000002i5c2AAA",""
"a0Y1i000004PdN4EAK","a0I1i000004MNvUEAW","Programme Unit","Strengthened Support Systems and Civil Society Response to Child Right Violation","a0i1i000002i5XyAAI",""
"a0Y1i000004PdN5EAK","a0I1i000004MOdpEAG","Programme Unit","Running costs FSP Z?eh - SOS Czech Republic","a0i1i000002i5MtAAI",""
"a0Y1i000004PdN6EAK","a0I1i000004MOfdEAG","Programme Unit","Children's Day Care Center for Family Strengthening - SOS Lithuania","a0i1i000002i5YYAAY",""
"a0Y1i000004PdN7EAK","a0I1i000004MObaEAG","Programme Unit","Building Strong Social Network for Families In Need (FSP Urgench)","a0i1i000002i5XkAAI",""
"a0Y1i000004PdMqEAK","a0I1i000004MOi0EAG","Programme Unit","Provision support to families of children with disabilities","a0i1i000002i58yAAA",""
"a0Y1i000004PdRmEAK","a0I1i000004MNsFEAW","Programme Unit","Support to ERP Drought Somalia 17","a0i1i000002i5JHAAY",""
"a0Y1i000004PdRlEAK","a0I1i000004MOqiEAG","Programme Unit","Humanitarian Crisis in Berbera - Somaliland","a0i1i000002i5JFAAY",""
"a0Y1i000004PdRoEAK","a0I1i000004MOimEAG","Programme Unit","ECHO Application ERP Serbia","a0i1i000002i57mAAA",""
"a0Y1i000004PdRpEAK","a0I1i000004MOimEAG","Programme Unit","H102","a0i1i000002i5IlAAI",""
"a0Y1i000004PdRqEAK","a0I1i000004MOimEAG","Programme Unit","ERP Solidarity'' - SOS Serbia","a0i1i000002i5OiAAI",""
"a0Y1i000004PdRrEAK","a0I1i000004MOimEAG","Programme Unit","Refugee Emergency Response Project 2017 - SOS Serbia","a0i1i000002i5RlAAI",""
"a0Y1i0000052ZYIEA2","a0I1i000004MOYaEAO","Programme Unit","Youth development project in Quthing, Lesotho","a0i1i000002i5GnAAI",""
"a0Y1i0000052w8fEAA","a0I1i000004MNtNEAW","Programme Unit","Agro ecological Center: Promoting the empowerment of vulnerable families-Mindelo","a0i1i000002i56sAAA",""
"a0Y1i0000052wA2EAI","a0I1i000004MOqfEAG","Programme Unit","The Next Economy - Phase II Somaliland","a0i1i000002iCnzAAE",""
"a0Y1i0000052wACEAY","a0I1i000004MOQuEAO","Programme Unit","The Next Economy - Phase II Nigeria","a0i1i000002iCo4AAE",""
"a0Y1i0000052wAHEAY","a0I1i000004MOQvEAO","Programme Unit","The Next Economy - Phase II Nigeria","a0i1i000002iCo4AAE",""
"a0Y1i0000052wAMEAY","a0I1i000004MOQwEAO","Programme Unit","The Next Economy - Phase II Nigeria","a0i1i000002iCo4AAE",""
"a0Y1i000004xve0EAA","a0I1i000004MM8IEAW","Country","Multi Country - Addressing Systemic Gaps - ALBANIA","a0i1i000002iAukAAE",""
"a0Y1i0000056TWEEA2","a0I1i000004MM8lEAG","Country","Apoyo económico a mujeres vulnerables y prevención de VBG en el contexto COVID","a0i1i000002iHY2AAM",""
"a0Y1i000004xve5EAA","a0I1i000004MM8MEAW","Country","Multi Country - Addressing Systemic Gaps - ARMENIA","a0i1i000002iAupAAE",""
"a0Y1i0000056TWnEAM","a0I1i000004MMA8EAO","Country","SMART Project","a0i1i000002iHY7AAM",""
"a0Y1i000004xveAEAQ","a0I1i000004MM8REAW","Country","Multi Country - Addressing Systemic Gaps - BELARUS","a0i1i000002iAuuAAE",""
"a0Y1i000004xveFEAQ","a0I1i000004MM9vEAG","Country","Multi Country - Addressing Systemic Gaps - MACEDONIA","a0i1i000002iAuzAAE",""
"a0Y1i000004PdMIEA0","a0I1i000004MOXVEA4","Programme Unit","Prevención de la Separación Familiar y el Desplazamiento Forzado","a0i1i000002i5G5AAI",""
"a0Y1i000004PdMJEA0","a0I1i000004MOXdEAO","Programme Unit","Prevención de la Separación Familiar y el Desplazamiento Forzado","a0i1i000002i5G5AAI",""
"a0Y1i000004PdMKEA0","a0I1i000004MP2aEAG","Programme Unit","Grant for Gaza Programme","a0i1i000002i5KDAAY",""
"a0Y1i000004PdMLEA0","a0I1i000004MOXyEAO","Programme Unit","Prevención de la Separación Familiar y el Desplazamiento Forzado","a0i1i000002i5G5AAI",""
"a0Y1i000004PdMMEA0","a0I1i000004MOcGEAW","Programme Unit","Early Childhood Development Center, Sarajevo 2018","a0i1i000002i5BMAAY",""
"a0Y1i000004PdMNEA0","a0I1i000004MOXwEAO","Programme Unit","Prevención de la Separación Familiar y el Desplazamiento Forzado","a0i1i000002i5G5AAI",""
"a0Y1i000004PdMOEA0","a0I1i000004MOSyEAO","Programme Unit","Prevención de la Separación Familiar y el Desplazamiento Forzado","a0i1i000002i5G5AAI",""
"a0Y1i000004PdMPEA0","a0I1i000004MOY3EAO","Programme Unit","Prevención de la Separación Familiar y el Desplazamiento Forzado","a0i1i000002i5G5AAI",""
"a0Y1i000004PdMQEA0","a0I1i000004MOKGEA4","Programme Unit","COMUNIDADES PROTECTORAS QUITUMBE","a0i1i000002i5A4AAI",""
"a0Y1i000004PdN8EAK","a0I1i000004MObsEAG","Programme Unit","Social inclusion and economic empowerment of vulnerable families in Tirana city","a0i1i000002i5c0AAA",""
"a0Y1i000004PdN9EAK","a0I1i000004MOHJEA4","Programme Unit","Bridge funding for FSPs Santa Cruz, Plan 4000, and Tiquipaya in Bolivia","a0i1i000002i5L4AAI",""
"a0Y1i000004PdNAEA0","a0I1i000004MOeZEAW","Programme Unit","Mother and Child Shelter of FSP - SOS Georgia","a0i1i000002i5YVAAY",""
"a0Y1i000004PdNBEA0","a0I1i000004MOc9EAG","Programme Unit","Building strong community for inclusive society in Tavush, Armenia","a0i1i000002i5aeAAA",""
"a0Y1i000004PdNCEA0","a0I1i000004MObQEAW","Programme Unit","Strengthening children and families in need  (FSP Tashkent)","a0i1i000002i5QfAAI",""
"a0Y1i000004PdNDEA0","a0I1i000004MObQEAW","Programme Unit","FSP Tashkent","a0i1i000002i5Y6AAI",""
"a0Y1i000004PdNEEA0","a0I1i000004MOIJEA4","Programme Unit","Reintegración de niñas, niños y adolescentes de centros de acogida","a0i1i000002i5c3AAA",""
"a0Y1i000004PdNIEA0","a0I1i000004MOQ5EAO","Programme Unit","Family strengthening programme in Tahoua, Niger","a0i1i000002i5bcAAA",""
"a0Y1i000004PdNJEA0","a0I1i000004MO8VEAW","Programme Unit","Empowering Families and Communities for Care and Support of Vulnerable Children","a0i1i000002i5S1AAI",""
"a0Y1i000004PdNKEA0","a0I1i000004MOhsEAG","Programme Unit","Model of support of biological families in crisis","a0i1i000002i58kAAA",""
"a0Y1i000004PdNLEA0","a0I1i000004MOhsEAG","Programme Unit","Strong Families: Raising Children in Safe and Loving Environment","a0i1i000002i58rAAA",""
"a0Y1i000004PdNMEA0","a0I1i000004MOcVEAW","Programme Unit","FSP Srebrenica, Bosnia","a0i1i000002i5KfAAI",""
"a0Y1i000004PdNNEA0","a0I1i000004MOcVEAW","Programme Unit","FSP Srebrenica - SOS Bosnia and Herzegovina","a0i1i000002i5LhAAI",""
"a0Y1i000004PdNOEA0","a0I1i000004MOcVEAW","Programme Unit","FSP Srebrenica 2015","a0i1i000002i5LiAAI",""
"a0Y1i000004PdNPEA0","a0I1i000004MOcVEAW","Programme Unit","FSP Srebrenica 2015","a0i1i000002i5LjAAI",""
"a0Y1i000004PdNQEA0","a0I1i000004MOcVEAW","Programme Unit","FSP Srebrenica 2015","a0i1i000002i5LkAAI",""
"a0Y1i000004PdNREA0","a0I1i000004MOcVEAW","Programme Unit","FSP Srebrenica - SOS Bosnia and Herzegovina","a0i1i000002i5M1AAI",""
"a0Y1i000004PdRsEAK","a0I1i000004MOKkEAO","Programme Unit","Proyecto de Emergencias post terremoto en Manabí y Esmeraldas","a0i1i000002i57yAAA",""
"a0Y1i000004PdRtEAK","a0I1i000004MO8WEAW","Programme Unit","H096","a0i1i000002i5IiAAI",""
"a0Y1i000004PdRuEAK","a0I1i000004MO8WEAW","Programme Unit","EP Nepal support by MFA of Iceland","a0i1i000002i5IjAAI",""
"a0Y1i000004PdRvEAK","a0I1i000004MO8WEAW","Programme Unit","Support for ERP Nepal","a0i1i000002i5IkAAI",""
"a0Y1i000004PdRwEAK","a0I1i000004MO8WEAW","Programme Unit","Co-financing the re-construction of Shanti Niketan higher secondary school","a0i1i000002i5IuAAI",""
"a0Y1i000004PdRxEAK","a0I1i000004MNs8EAG","Programme Unit","SOS CVI Mother and Child Health Care Programme 2017","a0i1i000002i570AAA",""
"a0Y1i000004PdRyEAK","a0I1i000004MNs8EAG","Programme Unit","SOS CVI Mother and Child Health Care Programme 2018-2019","a0i1i000002i599AAA",""
"a0Y1i000004PdRzEAK","a0I1i000004MNs8EAG","Programme Unit","Co-funding for the the ECHO Somalia Mother and Child Programme 2018","a0i1i000002i59SAAQ",""
"a0Y1i000004PdS1EAK","a0I1i000004MNs8EAG","Programme Unit","SOS CVI's Mother and Child Health Care Programme, Somalia 2013","a0i1i000002i5ISAAY",""
"a0Y1i000004PdS2EAK","a0I1i000004MNs8EAG","Programme Unit","SOS Emergency Mother and Child Health Care Programme 2012","a0i1i000002i5ITAAY",""
